,noun_chunk,sentences
1143,price,"This grinder is relatively quiet and compact. I also like the integrated cable storage (which I didn't even notice at first!); however the grinding isn't very consistent, and I haven't been able to get a consistent fine grind not matter how long I grind it for. The grounds at the top are fine but at the bottom are coarse. Overall, it's what I had expected, and it's good enough, especially for the price"
1161,unit,"I'm very happy with this small grinder. It works great and wipes clean easily. To store, I just wrap the cord around the unit and tuck the plug under one round of cord. It takes up very little shelf space. I don't bring coffee every day... I grind a full bowl each four or five days and keep the extra in the freezer for use on subsequent days."
1172,unit,Like a piece of art grinding away on my counter. Works well and simple...no unnecessary buttons and dials. Its design flaw is the same as most of them and would be hard to reasonably fix...You must flip the whole unit over to dump coffee into the cap. Would have to be bigger and a ton more pricey to fix.
1191,button,I bought this to grind coffee for espresso. I was worried that it wouldn't get the beans fine enough or they would be inconsistently ground. Nope. I hold the button down and gently shake the grinder just to move everything around and in 30 seconds I have perfectly ground espresso. Super-fine and even. Love this machine.
1211,button,I used this machine for the first time today. 2 or 3 presses on the button and the coffee beans were ground to little coarse grounds. Not too fine and not too coarse. Just perfect. I don't understand why so many people complain about the noise. What do you expect? It's quieter than a vacuum cleaner. Or a garbage disposal. Do you complain about those too? I highly recommend it. There's no need to pay more than 20 bucks.
1228,french press,"This is a lovely, heavy unit that works beautifully. I bought it mainly for spices but did use it first for coffee beans when I was having trouble with my burr grinder. Since I'm used to turning a wheel on the burr grinder to get the level of grind I need, I had to experiment a couple of times to get it right with this grinder but the result was consistent and evenly ground coffee beans. I used them in my french press and it was perfect.

I'll probably keep this exclusively for spices since I already have a burr grinder but it is a well made, attractive addition to my countertop and I found nothing awkward about using it. The top fits well and the pulsing was far more quiet than I'd expected. A good product in all I'd say."
1234,burr grinder,"This is a lovely, heavy unit that works beautifully. I bought it mainly for spices but did use it first for coffee beans when I was having trouble with my burr grinder. Since I'm used to turning a wheel on the burr grinder to get the level of grind I need, I had to experiment a couple of times to get it right with this grinder but the result was consistent and evenly ground coffee beans. I used them in my french press and it was perfect.

I'll probably keep this exclusively for spices since I already have a burr grinder but it is a well made, attractive addition to my countertop and I found nothing awkward about using it. The top fits well and the pulsing was far more quiet than I'd expected. A good product in all I'd say."
1248,review,"So I never write reviews but this product is so frustrating I had to. I figured with a Cuisinart coffee grinder I couldn't go wrong, but this thing sucks. The way the lid fits on the top means you can't load that many beans, and have to move the beans out of the way for it to fully close. It's such a small amount I have to do it twice to make a small batch of French press coffee. I've used other grinders that work perfectly so I never even imagined that a design could be so flawed, especially for Cuisinart. Disappointing. Cheaper ones I've bought by ""no name"" brands are far better."
1263,burr grinder,"I've tried super expensive grinders, butt grinders, auto grinders and I keep coming back to this one. NY Times goes on and on about the need for a burr grinder to get a consistent grind to avoid bitter coffee, but I think that's getting way too laboratory soecific. 99 percent of people won't know the difference. You'll get a consistent (enough) grind out of this if you know what you're doing and give it a little time for trial and error to get a specific grind dialed in. I use a Bialetti Italian press and this grinder helps me make fantastic and consistent coffee all day, every day."
1344,water,"I tried to use this to grind coffee. IT DOES NOT GRIND COFFEE WORTH A S&$%. But then neither does any other blade grinder I have tried. Finally got a burr grinder and will NEVER go back. However, this grinder can be made to grind spices if you are mechanically inclined. The blade on this and Cuisinart's hand held mixer is blunt and just about worthless.

However, unlike their hand held mixer, this blade can be easily removed. Just take a roughly 3/8"" dowel (a stick or handle of a wooden spoon) and place it on the right side of either blade pointed away from you. Now, whack the dowel with a wooden spoon or something. The blade will unscrew counter clockwise. Use a file or a Dremel with a stone and sharpen the blade. Now you have a fair to good grinder for spices.

One note of caution. DO NOT EVER GET ANY WATER IN THE GRINDING BOWL. The only thing separating the motor shaft from the bearing (actually a bushing) is a felt washer. Get it wet and it stays wet, corroding the shaft and speeding its demise. Also, DO NOT FILL THE GRINDING BOWL MORE THAT 3/4 OF THE WAY FULL (less for hard to grind substances). The full line is where the metal bowl ends and the plastic starts. OVERLOAD THIS CHEAP MOTOR AND IT WILL DIE."
1354,price,"I have wasted so much money on coffee grinders - I use a French press daily to make my cups of coffee and the grinders always grind the coffee too finely for a French press and they create static so the coffee grinds to everywhere.
I recently stayed at a Airbnb and they had this coffee grinder, I used it and instantly fell in love. With a few quick presses of the triangular button it grinds the coffee beans into coarse pieces perfect for a French press, plus the amount of coffee it grinds is perfect AND no clean up! I dump the grinds straight into my French press for the perfect morning coffee. The price is unbeatable."
1380,Amazon,"I had one of these for probably 10 years and it finally gave out. I replaced it with a Krups which costs more and, in my opinion, is an inferior product for a variety of reasons. After returning it to Amazon, I immediately replaced my broken Cuisinart with exactly the same one, only 10 years newer. This is a great coffee grinder that stands up over the long haul."
1429,review,"This is the second Cuisinart I own. The motor burned on the first one. I bought the same one as to preserve the Lid from the first one as a Spare. I had the Braun counterpart before and the lid broke on me. The only real complain I have about this unit is the fact that the lid is very dark and you can't see well inside to evaluate the grinding process.

I liked the Braun better as the lid is clear and you can see what's happening inside; this way you can achieve the proper grind without opening the lid to check.

The Braun has 150 Watt motor while the Cuisinart has 130 W. The Cuisinart looks more modern and sharper. With either you can get a good grind, but I would go with the Braun.....I'm currently considering a Burr grinder, but I can't sell my self that it'll be worth all that counter realstate....I keep my coffee in the fridge, and after grinding it to fine it does not feel hot, maybe warm if I grind to a super fine. From the reviews I read on the Burr Grinders, it looks like a lot more hassle, but what the heck, we love to complicate our lives...."
